"ID","Joke"
84,"Jenna Jameson to Oprah, ""There's a little bit of Jenna Jameson in everyone."" I'm pretty sure she got that backwards."
85,"Even after 20 years, Jared Fogle is still getting into smaller and smaller jeans."
86,"I have a degree in men's studies. It's called ""world history"". #TRUMP 2016! YOU CAN'T STUMP THE TRUMP!"
87,"Why don't most fans like the first 39 episodes of DBZ? Its pretty gay, just Saiyan."
88,"My ex-wife still misses me... But her aim is gettin better."
89,"This doctor once told me eating a bagel was like eating 5 slices of bread and I was like ok, cool, I like bread"
90,"What do you call a three-humped camel? Pregnant (Told to me by one of the kids at work)"
91,"What did the two tampons say to each other? Nothing, they're both stuck-up cunts."
92,"What do you call Jay-Z having a leg transplant? A hip-hop hip op."
93,"What defies the law of gravity? Women. They heavier they are, the easier they are to pick up."
94,"Everything has to be related in a woman: if the mouth shuts, the legs open."
95,"Wanna hear a pun about long hair? Rapunzel."
96,"""I'm so pissed I could punch a ba-"" ""A what?"" Big Baby from Toy Story 3 hovers over me, sawed-off shotgun in hand. ""A bagel. I HATE carbs."""
97,"What's the difference Donald Trump and my Vagina? One's a Cunt and the other has nice hair."
98,"My doctor had to put me on a new medication that's supposed to help lower the amount of karate in my blood"
99,"[uses the restroom] Wife: make sure to put the toilet seat down Me: okay Me: [to toilet seat] you're worthless and nobody likes you"
